2, 768, Note_on_c, 0, 60, 0
2, 768, Note_on_c, 0, 72, 63
2, 768, Note_on_c, 0, 60, 43
2, 864, Note_on_c, 0, 72, 0
2, 864, Note_on_c, 0, 60, 0
2, 864, Note_on_c, 0, 60, 45
2, 864, Note_on_c, 0, 72, 60
2, 1056, Note_on_c, 0, 60, 0
2, 1056, Note_on_c, 0, 72, 0
2, 1056, Note_on_c, 0, 60, 46
2, 1056, Note_on_c, 0, 72, 57
2, 1152, Note_on_c, 0, 60, 0
2, 1152, Note_on_c, 0, 72, 0
2, 1152, Note_on_c, 0, 72, 58
2, 1152, Note_on_c, 0, 69, 45
2, 1152, Note_on_c, 0, 53, 41
2, 1152, Note_on_c, 0, 60, 49
2, 1344, Note_on_c, 0, 72, 0
2, 1344, Note_on_c, 0, 69, 0
2, 1344, Note_on_c, 0, 53, 0
2, 1344, Note_on_c, 0, 60, 0
2, 1344, Note_on_c, 0, 60, 45
2, 1344, Note_on_c, 0, 69, 46
2, 1344, Note_on_c, 0, 53, 48
2, 1344, Note_on_c, 0, 72, 64
2, 1440, Note_on_c, 0, 60, 0
2, 1440, Note_on_c, 0, 69, 0
2, 1440, Note_on_c, 0, 53, 0
2, 1440, Note_on_c, 0, 72, 0
2, 1440, Note_on_c, 0, 70, 50
2, 1440, Note_on_c, 0, 53, 44
2, 1440, Note_on_c, 0, 60, 48
2, 1440, Note_on_c, 0, 72, 63
2, 1632, Note_on_c, 0, 70, 0
2, 1632, Note_on_c, 0, 53, 0
2, 1632, Note_on_c, 0, 60, 0
2, 1632, Note_on_c, 0, 72, 0
2, 1632, Note_on_c, 0, 53, 50
2, 1632, Note_on_c, 0, 70, 47
2, 1632, Note_on_c, 0, 72, 59
2, 1632, Note_on_c, 0, 60, 42
2, 1728, Note_on_c, 0, 53, 0
2, 1728, Note_on_c, 0, 70, 0
2, 1728, Note_on_c, 0, 72, 0
2, 1728, Note_on_c, 0, 60, 0
2, 1728, Note_on_c, 0, 53, 42
2, 1728, Note_on_c, 0, 70, 48
2, 1728, Note_on_c, 0, 76, 63
2, 1728, Note_on_c, 0, 60, 43
2, 1872, Note_on_c, 0, 76, 0
2, 1872, Note_on_c, 0, 74, 64
2, 1920, Note_on_c, 0, 53, 0
2, 1920, Note_on_c, 0, 70, 0
2, 1920, Note_on_c, 0, 60, 0
2, 1920, Note_on_c, 0, 74, 0
2, 1920, Note_on_c, 0, 53, 50
2, 1920, Note_on_c, 0, 70, 46
2, 1920, Note_on_c, 0, 72, 56
2, 1920, Note_on_c, 0, 60, 50
2, 2016, Note_on_c, 0, 53, 0
2, 2016, Note_on_c, 0, 70, 0
2, 2016, Note_on_c, 0, 72, 0
2, 2016, Note_on_c, 0, 60, 0
2, 2016, Note_on_c, 0, 69, 45
2, 2016, Note_on_c, 0, 60, 44
2, 2016, Note_on_c, 0, 53, 40
2, 2016, Note_on_c, 0, 77, 60
2, 2208, Note_on_c, 0, 69, 0
2, 2208, Note_on_c, 0, 60, 0
2, 2208, Note_on_c, 0, 53, 0
2, 2208, Note_on_c, 0, 77, 0
2, 2208, Note_on_c, 0, 65, 45
2, 2208, Note_on_c, 0, 74, 63
2, 2208, Note_on_c, 0, 58, 41
2, 2304, Note_on_c, 0, 65, 0
2, 2304, Note_on_c, 0, 74, 0
2, 2304, Note_on_c, 0, 58, 0
2, 2304, Note_on_c, 0, 72, 59
2, 2304, Note_on_c, 0, 65, 41
2, 2304, Note_on_c, 0, 57, 41
2, 2496, Note_on_c, 0, 72, 0
2, 2496, Note_on_c, 0, 65, 0
2, 2496, Note_on_c, 0, 57, 0
2, 2496, Note_on_c, 0, 64, 46
2, 2496, Note_on_c, 0, 57, 43
2, 2496, Note_on_c, 0, 69, 59
